id	hit_id	hit_title	hit_species	hit_evalue	hit_identity
2	"gnl|BL_ORD_ID|24208"	"P26811.2 RecName: Full=DNA polymerase 1; AltName: Full=DNA polymerase I; AltName: Full=Pol B1 [Saccharolobus solfataricus P2]"	"Saccharolobus solfataricus P2"	1.45324e-21	0.1746031746031746
2	"gnl|BL_ORD_ID|382459"	"Q69025.3 RecName: Full=DNA polymerase [Guinea pig cytomegalovirus (strain 22122 / ATCC VR682) (GPCMV)]"	"Guinea pig cytomegalovirus (strain 22122 / ATCC VR682) (GPCMV)"	1.24843e-20	0.11996418979409132
2	"gnl|BL_ORD_ID|247988"	"Q2HRD0.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 8 strain GK18]"	"Human herpesvirus 8 strain GK18"	1.46877e-20	0.13537549407114624
2	"gnl|BL_ORD_ID|66823"	"P61875.1 RecName: Full=DNA polymerase; AltName: Full=DNA polymerase B; AltName: Full=Pfu polymerase; AltName: Full=Pol I [Pyrococcus furiosus DSM 3638] P61876.1 RecName: Full=DNA polymerase; AltName: Full=Pwo polymerase [Pyrococcus woesei]"	"Pyrococcus furiosus DSM 3638] P61876.1 RecName: Full=DNA polymerase; AltName: Full=Pwo polymerase [Pyrococcus woesei"	3.18489e-20	0.16516129032258065
2	"gnl|BL_ORD_ID|325648"	"P56689.1 RecName: Full=DNA polymerase; AltName: Full=TO POL [Thermococcus gorgonarius]"	"Thermococcus gorgonarius"	7.77315e-20	0.19404915912031048
2	"gnl|BL_ORD_ID|142924"	"P95690.2 RecName: Full=DNA polymerase 1; AltName: Full=DNA polymerase I [Sulfolobus acidocaldarius DSM 639]"	"Sulfolobus acidocaldarius DSM 639"	8.71334e-20	0.1872146118721461
2	"gnl|BL_ORD_ID|19941"	"P27172.1 RecName: Full=DNA polymerase catalytic subunit [Murine cytomegalovirus (strain Smith)]"	"Murine cytomegalovirus (strain Smith)"	1.32374e-19	0.11212397447584321
2	"gnl|BL_ORD_ID|298355"	"Q9LRE6.1 RecName: Full=DNA polymerase delta catalytic subunit [Oryza sativa Japonica Group]"	"Oryza sativa Japonica Group"	4.82146e-19	0.14027149321266968
2	"gnl|BL_ORD_ID|431726"	"O93745.2 RecName: Full=DNA polymerase 1; AltName: Full=DNA polymerase I [Aeropyrum pernix K1]"	"Aeropyrum pernix K1"	5.07343e-19	0.145985401459854
2	"gnl|BL_ORD_ID|139319"	"Q9E6N9.1 RecName: Full=DNA polymerase catalytic subunit [Marek's disease herpesvirus type 1 strain MD5]"	"Marek's disease herpesvirus type 1 strain MD5"	6.24508e-19	0.11639344262295082
2	"gnl|BL_ORD_ID|171246"	"P46588.2 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=DNA polymerase III [Candida albicans]"	"Candida albicans"	1.19621e-18	0.11753371868978806
2	"gnl|BL_ORD_ID|424381"	"P30316.2 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease; AltName: Full=DNA polymerase III [Schizosaccharomyces pombe 972h-]"	"Schizosaccharomyces pombe 972h-"	2.6729e-18	0.16206261510128914
2	"gnl|BL_ORD_ID|147035"	"Q56366.1 RecName: Full=DNA polymerase [Thermococcus sp. 9oN-7]"	"Thermococcus sp. 9oN-7"	4.67399e-18	0.2
2	"gnl|BL_ORD_ID|355822"	"Q9LVN7.2 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=Protein EMBRYO DEFECTIVE 2780 [Arabidopsis thaliana]"	"Arabidopsis thaliana"	5.3126e-18	0.13972602739726028
2	"gnl|BL_ORD_ID|187112"	"Q1HVC1.1 RecName: Full=DNA polymerase catalytic subunit [Epstein-barr virus strain ag876]"	"Epstein-barr virus strain ag876"	1.00482e-17	0.13694581280788176
2	"gnl|BL_ORD_ID|27593"	"Q3KSP1.1 RecName: Full=DNA polymerase catalytic subunit [Human gammaherpesvirus 4]"	"Human gammaherpesvirus 4"	1.05762e-17	0.13694581280788176
2	"gnl|BL_ORD_ID|424525"	"P30315.1 RecName: Full=DNA polymerase delta catalytic subunit; Short=PfPoldelta; AltName: Full=3'-5' exodeoxyribonuclease [Plasmodium falciparum K1]"	"Plasmodium falciparum K1"	1.08668e-17	0.15813528336380256
2	"gnl|BL_ORD_ID|290906"	"P24907.1 RecName: Full=DNA polymerase catalytic subunit [Herpesvirus saimiri (strain 11)]"	"Herpesvirus saimiri (strain 11)"	1.24983e-17	0.16253716551040634
2	"gnl|BL_ORD_ID|436051"	"P03198.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 4 strain B95-8]"	"Human herpesvirus 4 strain B95-8"	1.52654e-17	0.13596059113300493
2	"gnl|BL_ORD_ID|72019"	"Q6UDK1.1 RecName: Full=DNA polymerase catalytic subunit [Psittacid herpesvirus 1 Amazon parrot/1997]"	"Psittacid herpesvirus 1 Amazon parrot/1997"	6.24977e-17	0.11193339500462535
2	"gnl|BL_ORD_ID|273356"	"Q54N97.1 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=DNA polymerase III [Dictyostelium discoideum]"	"Dictyostelium discoideum"	8.16087e-17	0.13496376811594202
2	"gnl|BL_ORD_ID|169326"	"P28858.1 RecName: Full=DNA polymerase catalytic subunit [Equine herpesvirus type 1 (strain AB4P)]"	"Equine herpesvirus type 1 (strain AB4P)"	9.89704e-17	0.1319672131147541
2	"gnl|BL_ORD_ID|52727"	"Q9HH06.1 RecName: Full=DNA polymerase [Pyrococcus glycovorans]"	"Pyrococcus glycovorans"	1.15993e-16	0.18193548387096775
2	"gnl|BL_ORD_ID|465665"	"Q6S6P1.1 RecName: Full=DNA polymerase catalytic subunit [Equine herpesvirus 1 (strain V592)]"	"Equine herpesvirus 1 (strain V592)"	1.35594e-16	0.13114754098360656
2	"gnl|BL_ORD_ID|337539"	"P28340.2 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease; AltName: Full=DNA polymerase subunit delta p125 [Homo sapiens]"	"Homo sapiens"	3.34986e-15	0.12285456187895212
2	"gnl|BL_ORD_ID|333893"	"P0CL77.1 RecName: Full=DNA polymerase 1; AltName: Full=Pab polymerase [Pyrococcus abyssi GE5]"	"Pyrococcus abyssi GE5"	5.33834e-15	0.15953307392996108
2	"gnl|BL_ORD_ID|183757"	"P28339.1 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease [Bos taurus]"	"Bos taurus"	8.98906e-15	0.1220614828209765
2	"gnl|BL_ORD_ID|3458"	"P15436.4 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease; AltName: Full=DNA polymerase III [Saccharomyces cerevisiae S288C]"	"Saccharomyces cerevisiae S288C"	1.10793e-14	0.12123974475843209
2	"gnl|BL_ORD_ID|12156"	"P0CL76.1 RecName: Full=DNA polymerase 1; AltName: Full=Pab polymerase [Pyrococcus abyssi]"	"Pyrococcus abyssi"	1.39398e-14	0.15953307392996108
2	"gnl|BL_ORD_ID|142581"	"Q9DKT8.1 RecName: Full=DNA polymerase catalytic subunit [Elephantid herpesvirus 1 (isolate Kiba)]"	"Elephantid herpesvirus 1 (isolate Kiba)"	1.9121e-14	0.12007684918347743
2	"gnl|BL_ORD_ID|27475"	"P52367.1 RecName: Full=DNA polymerase catalytic subunit [Equid herpesvirus type 2 strain 86/87]"	"Equid herpesvirus type 2 strain 86/87"	8.94708e-14	0.1259920634920635
2	"gnl|BL_ORD_ID|232744"	"P09252.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 3 strain Dumas]"	"Human herpesvirus 3 strain Dumas"	2.1229e-13	0.12814070351758794
2	"gnl|BL_ORD_ID|419038"	"Q4JQU7.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 3 strain Oka vaccine]"	"Human herpesvirus 3 strain Oka vaccine"	2.98255e-13	0.12814070351758794
2	"gnl|BL_ORD_ID|388433"	"P08546.2 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 5 strain AD169]"	"Human herpesvirus 5 strain AD169"	3.15672e-13	0.11996779388083736
2	"gnl|BL_ORD_ID|15656"	"Q6SW77.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 5 strain Merlin]"	"Human herpesvirus 5 strain Merlin"	3.26585e-13	0.11996779388083736
2	"gnl|BL_ORD_ID|304514"	"Q9FHA3.2 RecName: Full=DNA polymerase alpha catalytic subunit [Arabidopsis thaliana]"	"Arabidopsis thaliana"	4.44848e-13	0.048556430446194225
2	"gnl|BL_ORD_ID|245380"	"O48653.2 RecName: Full=DNA polymerase alpha catalytic subunit [Oryza sativa Japonica Group]"	"Oryza sativa Japonica Group"	5.55562e-13	0.04106910039113429
2	"gnl|BL_ORD_ID|2924"	"P52025.1 RecName: Full=DNA polymerase [Methanococcus voltae]"	"Methanococcus voltae"	6.36029e-13	0.14684466019417475
2	"gnl|BL_ORD_ID|284176"	"O48901.1 RecName: Full=DNA polymerase delta catalytic subunit [Glycine max]"	"Glycine max"	7.39074e-13	0.09650735294117647
2	"gnl|BL_ORD_ID|203427"	"P97283.1 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease [Mesocricetus auratus]"	"Mesocricetus auratus"	1.34797e-12	0.11876699909338169
2	"gnl|BL_ORD_ID|127569"	"Q85428.2 RecName: Full=DNA polymerase catalytic subunit [rat cytomegalovirus strain Maastricht]"	"rat cytomegalovirus strain Maastricht"	1.85798e-12	0.06479113384484228
2	"gnl|BL_ORD_ID|1136"	"P52431.2 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease [Mus musculus]"	"Mus musculus"	2.22794e-12	0.11945701357466064
2	"gnl|BL_ORD_ID|119405"	"P89453.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 2 strain HG52]"	"Human herpesvirus 2 strain HG52"	2.75267e-12	0.05967741935483871
2	"gnl|BL_ORD_ID|251814"	"P07918.1 RecName: Full=DNA polymerase catalytic subunit [Human herpesvirus 2 strain 186]"	"Human herpesvirus 2 strain 186"	2.84779e-12	0.06370967741935483
2	"gnl|BL_ORD_ID|427614"	"P04292.1 RecName: Full=DNA polymerase catalytic subunit [Human alphaherpesvirus 1 strain KOS]"	"Human alphaherpesvirus 1 strain KOS"	3.39929e-12	0.06153846153846154
2	"gnl|BL_ORD_ID|243796"	"P07917.1 RecName: Full=DNA polymerase catalytic subunit [Human alphaherpesvirus 1 strain Angelotti]"	"Human alphaherpesvirus 1 strain Angelotti"	3.54676e-12	0.06072874493927125
2	"gnl|BL_ORD_ID|383374"	"P04293.2 RecName: Full=DNA polymerase catalytic subunit [Human alphaherpesvirus 1 strain 17]"	"Human alphaherpesvirus 1 strain 17"	3.73218e-12	0.06072874493927125
2	"gnl|BL_ORD_ID|386075"	"P09854.1 RecName: Full=DNA polymerase catalytic subunit [Human alphaherpesvirus 1 strain SC16]"	"Human alphaherpesvirus 1 strain SC16"	6.00508e-12	0.06072874493927125
2	"gnl|BL_ORD_ID|173813"	"O00874.1 RecName: Full=DNA polymerase alpha catalytic subunit [Leishmania donovani]"	"Leishmania donovani"	8.07855e-12	0.05003734129947722
2	"gnl|BL_ORD_ID|166194"	"Q54SV8.1 RecName: Full=DNA polymerase alpha catalytic subunit [Dictyostelium discoideum]"	"Dictyostelium discoideum"	1.04901e-11	0.04241219350563287
2	"gnl|BL_ORD_ID|294761"	"P27727.1 RecName: Full=DNA polymerase alpha catalytic subunit [Trypanosoma brucei brucei]"	"Trypanosoma brucei brucei"	1.20379e-11	0.04630321135175504
2	"gnl|BL_ORD_ID|123664"	"P13382.2 RecName: Full=DNA polymerase alpha catalytic subunit A; AltName: Full=DNA polymerase I subunit A; AltName: Full=DNA polymerase alpha:primase complex p180 subunit; Short=DNA polymerase-primase complex p180 subunit; Short=Pol alpha-primase complex p180 subunit [Saccharomyces cerevisiae S288C]"	"Saccharomyces cerevisiae S288C"	1.73266e-11	0.05040871934604905
2	"gnl|BL_ORD_ID|311239"	"Q7SIG7.1 RecName: Full=DNA polymerase; AltName: Full=D Tok Pol [Desulfurococcus sp. Tok]"	"Desulfurococcus sp. Tok"	2.39149e-11	0.15265200517464425
2	"gnl|BL_ORD_ID|143095"	"P54358.2 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease [Drosophila melanogaster]"	"Drosophila melanogaster"	7.55652e-11	0.12362637362637363
2	"gnl|BL_ORD_ID|37378"	"O54747.1 RecName: Full=DNA polymerase delta catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease [Rattus norvegicus]"	"Rattus norvegicus"	1.45903e-10	0.11876699909338169
2	"gnl|BL_ORD_ID|210285"	"O89042.1 RecName: Full=DNA polymerase alpha catalytic subunit; AltName: Full=DNA polymerase alpha catalytic subunit p180 [Rattus norvegicus]"	"Rattus norvegicus"	9.44699e-10	0.03652653342522398
2	"gnl|BL_ORD_ID|276263"	"P26019.2 RecName: Full=DNA polymerase alpha catalytic subunit; AltName: Full=3'-5' exodeoxyribonuclease [Drosophila melanogaster]"	"Drosophila melanogaster"	1.00815e-9	0.03763440860215054
2	"gnl|BL_ORD_ID|154209"	"Q9P6L6.1 RecName: Full=DNA polymerase zeta catalytic subunit; AltName: Full=Protein reversionless 3 [Schizosaccharomyces pombe 972h-]"	"Schizosaccharomyces pombe 972h-"	1.80695e-9	0.06418918918918919
2	"gnl|BL_ORD_ID|467240"	"Q9YUS2.1 RecName: Full=DNA polymerase catalytic subunit [Tupaiid herpesvirus 2]"	"Tupaiid herpesvirus 2"	2.37056e-9	0.05636208368915457
2	"gnl|BL_ORD_ID|97600"	"Q9YUS3.1 RecName: Full=DNA polymerase catalytic subunit [Tupaiid betaherpesvirus 1]"	"Tupaiid betaherpesvirus 1"	2.51571e-9	0.05636208368915457
2	"gnl|BL_ORD_ID|381362"	"Q9DE46.1 RecName: Full=DNA polymerase alpha catalytic subunit; AltName: Full=DNA polymerase alpha catalytic subunit p180 [Xenopus laevis]"	"Xenopus laevis"	2.57091e-9	0.06790123456790123
2	"gnl|BL_ORD_ID|308227"	"P09884.2 RecName: Full=DNA polymerase alpha catalytic subunit; AltName: Full=DNA polymerase alpha catalytic subunit p180 [Homo sapiens]"	"Homo sapiens"	2.82379e-9	0.036935704514363885
2	"gnl|BL_ORD_ID|321811"	"P33609.2 RecName: Full=DNA polymerase alpha catalytic subunit; AltName: Full=DNA polymerase alpha catalytic subunit p180 [Mus musculus]"	"Mus musculus"	2.8978e-9	0.03686006825938567
2	"gnl|BL_ORD_ID|145330"	"O71121.1 RecName: Full=DNA polymerase catalytic subunit [Rhesus cytomegalovirus strain 68-1]"	"Rhesus cytomegalovirus strain 68-1"	3.09611e-9	0.07053140096618357
2	"gnl|BL_ORD_ID|350310"	"P30320.1 RecName: Full=DNA polymerase [Paramecium bursaria Chlorella virus NY2A]"	"Paramecium bursaria Chlorella virus NY2A"	3.98204e-9	0.07995618838992333
2	"gnl|BL_ORD_ID|376685"	"P90829.1 RecName: Full=DNA polymerase delta catalytic subunit [Caenorhabditis elegans]"	"Caenorhabditis elegans"	6.63309e-9	0.06290471785383904
2	"gnl|BL_ORD_ID|64561"	"Q196U0.1 RecName: Full=DNA polymerase 120R [Invertebrate iridescent virus 3]"	"Invertebrate iridescent virus 3"	1.2009e-8	0.07274320771253287
2	"gnl|BL_ORD_ID|196207"	"P14284.1 RecName: Full=DNA polymerase zeta catalytic subunit; AltName: Full=Protein reversionless 3 [Saccharomyces cerevisiae S288C]"	"Saccharomyces cerevisiae S288C"	1.38518e-8	0.10638297872340426
2	"gnl|BL_ORD_ID|254076"	"O27276.1 RecName: Full=DNA polymerase PolB subunit 1 [Methanothermobacter thermautotrophicus str. Delta H]"	"Methanothermobacter thermautotrophicus str. Delta H"	1.40664e-8	0.19112627986348124
2	"gnl|BL_ORD_ID|75827"	"Q27152.1 RecName: Full=DNA polymerase alpha catalytic subunit [Sterkiella histriomuscorum]"	"Sterkiella histriomuscorum"	2.06503e-8	0.038334434897554524
2	"gnl|BL_ORD_ID|416672"	"O93746.3 RecName: Full=DNA polymerase 2; AltName: Full=DNA polymerase II [Aeropyrum pernix K1]"	"Aeropyrum pernix K1"	2.25758e-8	0.1382316313823163
2	"gnl|BL_ORD_ID|321123"	"O59610.1 RecName: Full=DNA polymerase; Contains: RecName: Full=Pho pol intein; AltName: Full=Pho Pol I intein [Pyrococcus horikoshii OT3]"	"Pyrococcus horikoshii OT3"	2.41858e-8	0.07449392712550608
2	"gnl|BL_ORD_ID|2516"	"P21189.2 RecName: Full=DNA polymerase II; Short=Pol II [Escherichia coli K-12]"	"Escherichia coli K-12"	3.06014e-8	0.1545338441890166
2	"gnl|BL_ORD_ID|197992"	"Q94636.1 RecName: Full=DNA polymerase alpha catalytic subunit [Sterkiella nova]"	"Sterkiella nova"	3.14527e-8	0.04088471849865952
2	"gnl|BL_ORD_ID|23968"	"Q4PFV5.1 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Ustilago maydis 521]"	"Ustilago maydis 521"	3.19898e-8	0.03600867678958785
2	"gnl|BL_ORD_ID|263072"	"Q51334.1 RecName: Full=DNA polymerase; AltName: Full=Deep vent DNA polymerase; Contains: RecName: Full=Homing endonuclease PI-PspI; AltName: Full=Psp-GDB pol intein [Pyrococcus sp. GB-D]"	"Pyrococcus sp. GB-D"	6.56212e-8	0.07698170731707317
2	"gnl|BL_ORD_ID|162108"	"Q6FNY7.1 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [[Candida] glabrata CBS 138]"	"[Candida] glabrata CBS 138"	7.10737e-8	0.028416779431664412
2	"gnl|BL_ORD_ID|455706"	"P30321.2 RecName: Full=DNA polymerase [Paramecium bursaria Chlorella virus 1]"	"Paramecium bursaria Chlorella virus 1"	1.81812e-7	0.08981380065717415
2	"gnl|BL_ORD_ID|405685"	"O70736.1 RecName: Full=DNA polymerase [Red seabream iridovirus]"	"Red seabream iridovirus"	2.83995e-7	0.13938753959873285
2	"gnl|BL_ORD_ID|474382"	"P28040.1 RecName: Full=DNA polymerase alpha catalytic subunit; AltName: Full=DNA polymerase I [Schizosaccharomyces pombe 972h-]"	"Schizosaccharomyces pombe 972h-"	2.90899e-7	0.06548042704626335
2	"gnl|BL_ORD_ID|340962"	"P30317.1 RecName: Full=DNA polymerase; AltName: Full=Vent DNA polymerase; Contains: RecName: Full=Endonuclease PI-TliII; AltName: Full=IVPS2; AltName: Full=Tli pol-1 intein; Contains: RecName: Full=Endonuclease PI-TliI; AltName: Full=IVPS1; AltName: Full=Tli pol-2 intein [Thermococcus litoralis]"	"Thermococcus litoralis"	5.26043e-7	0.041128084606345476
2	"gnl|BL_ORD_ID|41752"	"Q07864.5 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=3'-5' exodeoxyribonuclease; AltName: Full=DNA polymerase II subunit A [Homo sapiens]"	"Homo sapiens"	7.04648e-7	0.01968503937007874
2	"gnl|BL_ORD_ID|98647"	"A7U6F2.1 RecName: Full=DNA polymerase [Pyramimonas orientalis virus]"	"Pyramimonas orientalis virus"	7.85263e-7	0.05140961857379768
2	"gnl|BL_ORD_ID|286116"	"Q9WVF7.3 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=3'-5' exodeoxyribonuclease; AltName: Full=DNA polymerase II subunit A [Mus musculus]"	"Mus musculus"	0.0000012622	0.018396846254927726
2	"gnl|BL_ORD_ID|313841"	"Q4WXH8.1 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Aspergillus fumigatus Af293]"	"Aspergillus fumigatus Af293"	0.00000160858	0.021524663677130046
2	"gnl|BL_ORD_ID|107188"	"Q752B8.2 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Eremothecium gossypii ATCC 10895]"	"Eremothecium gossypii ATCC 10895"	0.00000193237	0.027522935779816515
2	"gnl|BL_ORD_ID|366763"	"O93845.2 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Aspergillus nidulans FGSC A4]"	"Aspergillus nidulans FGSC A4"	0.00000247239	0.02174898051653829
2	"gnl|BL_ORD_ID|46016"	"Q6GZR5.1 RecName: Full=Putative DNA polymerase 060R [Frog virus 3 (isolate Goorha)]"	"Frog virus 3 (isolate Goorha)"	0.00000470297	0.0562685093780849
2	"gnl|BL_ORD_ID|162139"	"P0CN26.1 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Cryptococcus neoformans var. neoformans JEC21] P0CN27.1 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Cryptococcus neoformans var. neoformans B-3501A]"	"Cryptococcus neoformans var. neoformans JEC21] P0CN27.1 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Cryptococcus neoformans var. neoformans B-3501A"	0.00000601628	0.02666666666666667
2	"gnl|BL_ORD_ID|458026"	"P87154.1 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Schizosaccharomyces pombe 972h-]"	"Schizosaccharomyces pombe 972h-"	0.0000127313	0.020918599363346977
2	"gnl|BL_ORD_ID|398585"	"Q6CUS7.1 RecName: Full=DNA polymerase epsilon catalytic subunit A; AltName: Full=DNA polymerase II subunit A [Kluyveromyces lactis NRRL Y-1140]"	"Kluyveromyces lactis NRRL Y-1140"	0.0000132718	0.02745995423340961
2	"gnl|BL_ORD_ID|236220"	"Q9HH05.1 RecName: Full=DNA polymerase; Contains: RecName: Full=Endonuclease PI-ThyII; AltName: Full=Thy pol-1 intein; Contains: RecName: Full=Endonuclease PI-ThyI; AltName: Full=Thy pol-2 intein [Thermococcus hydrothermalis]"	"Thermococcus hydrothermalis"	0.0000148284	0.05935251798561151
2	"gnl|BL_ORD_ID|15698"	"P21402.2 RecName: Full=DNA polymerase [Fowlpox virus strain NVSL]"	"Fowlpox virus strain NVSL"	0.0000158725	0.07591093117408906
2	"gnl|BL_ORD_ID|191496"	"Q84173.1 RecName: Full=DNA polymerase [Orf virus (strain NZ2)]"	"Orf virus (strain NZ2)"	0.0000589869	0.08630952380952381
2	"gnl|BL_ORD_ID|463549"	"A7U6F3.1 RecName: Full=DNA polymerase [Phaeocystis pouchetii virus]"	"Phaeocystis pouchetii virus"	0.0000664293	0.04401913875598086
